Ground Points:
Point 323: X=-123.414, Y=518.172, Z=1941.000
Point 324: X=-120.082, Y=518.172, Z=1941.000
Point 325: X=-116.751, Y=518.172, Z=1941.000
Point 326: X=-113.419, Y=518.172, Z=1941.000
Point 327: X=-110.088, Y=518.172, Z=1941.000
Point 328: X=-106.756, Y=518.172, Z=1941.000
Point 329: X=-103.425, Y=518.172, Z=1941.000
Point 330: X=-100.661, Y=521.109, Z=1952.000
Point 331: X=-97.310, Y=521.109, Z=1952.000
Point 332: X=-93.960, Y=521.109, Z=1952.000
Point 333: X=-90.610, Y=521.109, Z=1952.000
Point 334: X=-87.796, Y=524.312, Z=1964.000
Point 335: X=-84.425, Y=524.312, Z=1964.000
Point 336: X=-81.054, Y=524.312, Z=1964.000
Point 337: X=-77.683, Y=524.312, Z=1964.000
Point 338: X=-74.312, Y=524.312, Z=1964.000
Point 339: X=-70.507, Y=521.109, Z=1952.000
Point 340: X=-67.570, Y=524.312, Z=1964.000
Point 341: X=-64.199, Y=524.312, Z=1964.000
Point 342: X=-60.456, Y=521.109, Z=1952.000
Point 343: X=-57.106, Y=521.109, Z=1952.000
Point 344: X=-53.756, Y=521.109, Z=1952.000
Point 345: X=-50.715, Y=524.312, Z=1964.000
Point 346: X=-47.055, Y=521.109, Z=1952.000
Point 347: X=-43.705, Y=521.109, Z=1952.000
Point 348: X=-40.602, Y=524.312, Z=1964.000
Point 349: X=-37.231, Y=524.312, Z=1964.000
Point 350: X=-33.654, Y=521.109, Z=1952.000
Point 351: X=-30.303, Y=521.109, Z=1952.000
Point 352: X=-26.953, Y=521.109, Z=1952.000
Point 353: X=-23.602, Y=521.109, Z=1952.000
Point 354: X=-20.252, Y=521.109, Z=1952.000
Point 355: X=-16.902, Y=521.109, Z=1952.000
Point 356: X=-13.551, Y=521.109, Z=1952.000
Point 357: X=-10.201, Y=521.109, Z=1952.000
Point 358: X=-6.851, Y=521.109, Z=1952.000
Point 359: X=-3.500, Y=521.109, Z=1952.000
Point 360: X=-0.149, Y=518.172, Z=1941.000
Point 361: X=3.182, Y=518.172, Z=1941.000
Point 362: X=6.551, Y=521.109, Z=1952.000
Point 363: X=9.901, Y=521.109, Z=1952.000
Point 364: X=13.251, Y=521.109, Z=1952.000
Point 365: X=16.602, Y=521.109, Z=1952.000
Point 366: X=19.840, Y=518.172, Z=1941.000
Point 367: X=23.171, Y=518.172, Z=1941.000
Point 368: X=26.653, Y=521.109, Z=1952.000
Point 369: X=30.003, Y=521.109, Z=1952.000
Point 370: X=33.354, Y=521.109, Z=1952.000
Point 371: X=36.497, Y=518.172, Z=1941.000
Point 372: X=39.829, Y=518.172, Z=1941.000
Point 373: X=43.160, Y=518.172, Z=1941.000
Point 374: X=46.492, Y=518.172, Z=1941.000
Point 375: X=49.823, Y=518.172, Z=1941.000
Point 376: X=53.155, Y=518.172, Z=1941.000
Point 377: X=56.486, Y=518.172, Z=1941.000
Point 378: X=59.817, Y=518.172, Z=1941.000
Point 379: X=63.507, Y=521.109, Z=1952.000
Point 380: X=66.857, Y=521.109, Z=1952.000
Point 381: X=70.208, Y=521.109, Z=1952.000
Point 382: X=73.558, Y=521.109, Z=1952.000
Point 383: X=76.908, Y=521.109, Z=1952.000
Point 384: X=932.664, Y=518.172, Z=1941.000
Point 385: X=935.996, Y=518.172, Z=1941.000
Point 386: X=939.327, Y=518.172, Z=1941.000
Point 387: X=942.659, Y=518.172, Z=1941.000
Point 388: X=-208.950, Y=518.817, Z=1931.000
Point 389: X=-206.701, Y=521.503, Z=1941.000
Point 390: X=-203.369, Y=521.503, Z=1941.000
Point 391: X=-200.038, Y=521.503, Z=1941.000
Point 392: X=-196.706, Y=521.503, Z=1941.000
Point 393: X=-193.375, Y=521.503, Z=1941.000
Point 394: X=-190.043, Y=521.503, Z=1941.000
Point 395: X=-186.712, Y=521.503, Z=1941.000
Point 396: X=-183.380, Y=521.503, Z=1941.000
Point 397: X=-180.049, Y=521.503, Z=1941.000
Point 398: X=-176.717, Y=521.503, Z=1941.000
Point 399: X=-173.386, Y=521.503, Z=1941.000
Point 400: X=-170.054, Y=521.503, Z=1941.000
Point 401: X=-166.723, Y=521.503, Z=1941.000
Point 402: X=-163.391, Y=521.503, Z=1941.000
Point 403: X=-160.060, Y=521.503, Z=1941.000
Point 404: X=-156.729, Y=521.503, Z=1941.000
Point 405: X=-153.397, Y=521.503, Z=1941.000
Point 406: X=-150.066, Y=521.503, Z=1941.000
Point 407: X=-146.734, Y=521.503, Z=1941.000
Point 408: X=-143.403, Y=521.503, Z=1941.000
Point 409: X=-140.071, Y=521.503, Z=1941.000
Point 410: X=-136.740, Y=521.503, Z=1941.000
Point 411: X=-133.408, Y=521.503, Z=1941.000
Point 412: X=-130.077, Y=521.503, Z=1941.000
Point 413: X=-126.745, Y=521.503, Z=1941.000
Point 414: X=-122.778, Y=518.817, Z=1931.000
Point 415: X=-119.464, Y=518.817, Z=1931.000
Point 416: X=-116.149, Y=518.817, Z=1931.000
Point 417: X=-112.835, Y=518.817, Z=1931.000
Point 418: X=-109.521, Y=518.817, Z=1931.000
Point 419: X=-106.206, Y=518.817, Z=1931.000
Point 420: X=-102.892, Y=518.817, Z=1931.000
Point 421: X=-100.093, Y=521.503, Z=1941.000
Point 422: X=-96.762, Y=521.503, Z=1941.000
Point 423: X=-93.430, Y=521.503, Z=1941.000
Point 424: X=-90.099, Y=521.503, Z=1941.000
Point 425: X=-86.768, Y=521.503, Z=1941.000
